trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
614,False,"{'a': 0.5, 'e': 0.5702550698512413}",25,11,3.9226287225625485,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
615,False,"{'a': 0.5, 'e': 0.5689646633069998}",30,18,-11.638412277883493,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
616,False,"{'a': 0.5, 'e': 0.5676728543220478}",20,0,-48.40646744127563,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
617,False,"{'a': 0.5, 'e': 0.5663796460805646}",20,0,5.718462651223827,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
618,False,"{'a': 0.5, 'e': 0.5650850417701786}",25,6,15.630346235642484,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.5, 'e': 0.5637890445819592}",20,0,-13.840979371203783,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
620,False,"{'a': 0.5, 'e': 0.5624916577104093}",20,10,-7.95709292717677,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
621,False,"{'a': 0.5, 'e': 0.561192884353457}",30,8,-4.264396899229448,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
622,False,"{'a': 0.5, 'e': 0.5598927277124484}",20,9,-19.913737463029197,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
623,False,"{'a': 0.5, 'e': 0.5585911909921386}",25,16,4.27960580099835,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
624,False,"{'a': 0.5, 'e': 0.557288277400685}",35,21,-16.91256038652277,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
625,False,"{'a': 0.5, 'e': 0.5559839901496385}",20,3,7.770354031589258,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
626,False,"{'a': 0.5, 'e': 0.5546783324539363}",20,0,13.352949728326957,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
627,False,"{'a': 0.5, 'e': 0.5533713075318931}",25,0,-18.067305053862338,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
628,False,"{'a': 0.5, 'e': 0.5520629186051944}",30,17,-21.18700417029133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
629,False,"{'a': 0.5, 'e': 0.5507531688988869}",20,10,13.879877997707013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.5, 'e': 0.5494420616413723}",25,0,-45.54287169678923,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
631,False,"{'a': 0.5, 'e': 0.5481296000643981}",25,0,-6.375675234219192,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
632,False,"{'a': 0.5, 'e': 0.5468157874030505}",20,10,-23.513089008518417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
633,False,"{'a': 0.5, 'e': 0.5455006268957452}",30,22,14.535266385117279,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.5, 'e': 0.5441841217842207}",30,15,18.47290861788489,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.5, 'e': 0.5428662753135302}",20,10,18.974448329947826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
